lookback,gap,min_size,n_trades,win_rate,net_dollars,profit_factor,max_drawdown,sharpe_approx
100,2.0,4,71,0.5633802816901409,461.625,1.2051666666666667,-419.0,1.4010621353513615
100,2.0,5,22,0.6818181818181818,422.5,1.9441340782122905,-86.5,4.68007014336656
100,3.0,2,782,0.5601023017902813,6005.166666666666,1.2222832289706653,-1040.5,1.5723587609758032
100,3.0,3,323,0.5634674922600619,2567.166666666666,1.2337435695099928,-690.0,1.6368815454614465
100,3.0,4,156,0.5576923076923077,1078.041666666666,1.2089093081842257,-715.8333333333339,1.4550555111617272
100,3.0,5,65,0.5692307692307692,542.1666666666661,1.2681559640590219,-578.3333333333339,1.7895804834166085
100,4.0,2,846,0.5638297872340425,6998.916666666666,1.2412539102109286,-1293.0,1.6943234070633306
100,4.0,3,431,0.5661252900232019,3531.166666666666,1.2404144019426508,-1124.0,1.6828386062696545
100,4.0,4,214,0.5327102803738317,642.1666666666661,1.0833730038516467,-882.5,0.6195282955192694
100,4.0,5,116,0.5517241379310345,866.6666666666661,1.2241572549357702,-586.3333333333339,1.5581815279932683
100,5.0,2,903,0.5758582502768549,9055.871212121214,1.2999518471111906,-1060.0,2.0587468723040034
100,5.0,3,485,0.5587628865979382,3505.121212121214,1.2075223231505918,-1106.5,1.4761514740104342
100,5.0,4,243,0.5679012345679012,1970.954545454546,1.2391789995090767,-914.0,1.6705686812995673
100,5.0,5,135,0.5481481481481482,781.454545454546,1.1678021355925587,-656.0,1.19708842448153
100,7.0,2,950,0.588421052631579,11316.541666666668,1.3674176987439208,-996.0,2.456933319482573
100,7.0,3,600,0.565,4900.041666666668,1.2370839725742948,-1184.5,1.667694053770497
100,7.0,4,384,0.5625,2813.875,1.2105071210151772,-758.0,1.494862842902515
100,7.0,5,245,0.5306122448979592,643.5,1.0711089010442565,-893.0,0.5345133755098871
150,2.0,2,717,0.5788005578800558,7601.5,1.3177154082464317,-1252.5,2.170058387176667
150,2.0,3,233,0.5407725321888412,941.5,1.1101105198526402,-845.5,0.8172247687550867
150,2.0,4,86,0.5581395348837209,597.0,1.2023385866802236,-406.5,1.4246123516149645
150,2.0,5,24,0.5,-174.0,0.823170731707317,-352.5,-1.4700154579287712
150,3.0,2,830,0.5626506024096386,6891.0,1.2400376201755607,-996.5,1.691349357008595
150,3.0,3,362,0.5607734806629834,2714.5,1.2142039850069046,-742.0,1.522542168908522
150,3.0,4,168,0.5535714285714286,1031.5,1.1762946504870961,-762.0,1.260083156312046
150,3.0,5,67,0.5970149253731343,791.5,1.370119242459668,-418.0,2.4348004999230644
150,4.0,2,892,0.5627802690582959,7327.0,1.2366754958330641,-1362.5,1.6710954036215548
150,4.0,3,478,0.5564853556485355,3185.5,1.1879184732914492,-1132.0,1.3514584172098039
150,4.0,4,248,0.5241935483870968,391.5,1.0417510931001386,-1302.5,0.31954522486383385
150,4.0,5,120,0.55,803.5,1.1899976353747932,-496.0,1.3579387349502705
150,5.0,2,943,0.5726405090137858,9210.416666666668,1.287896745288548,-1060.0,1.9919806415939172
150,5.0,3,543,0.5580110497237569,3910.166666666668,1.2038314509122503,-1000.0,1.4586148295910704
150,5.0,4,284,0.5633802816901409,2159.0,1.2171049323746794,-822.0,1.542235012291462
150,5.0,5,140,0.5642857142857143,1169.0,1.2433895481990422,-536.0,1.700244270872844
150,7.0,2,995,0.5849246231155779,11392.541666666668,1.3469928538160574,-996.0,2.3458522923211533
150,7.0,3,656,0.5762195121951219,6574.541666666668,1.2958445751484482,-1106.5,2.040759752219939
150,7.0,4,445,0.5528089887640449,2679.875,1.1669171059085495,-1042.0,1.2149096433912396
150,7.0,5,291,0.5326460481099656,907.0,1.0830776276620104,-667.0,0.6267444690607591
